Pick,Round 1,Round 2,Round 3,Round 4,Round 5,Round 6,Round 7,Round 8,Round 9,QBs in Final 9,RBs in Final 9,WRs in Final 9,TEs in Final 9,Average Points
12th,WR,WR,TE,WR,WR,WR,RB,QB,RB,1,4,0,0,77.4
4th,RB,RB,WR,TE,WR,RB,QB,RB,RB,1,0,4,0,77.4
6th,WR,WR,TE,RB,QB,RB,RB,RB,RB,0,2,3,0,77.4
9th,RB,WR,TE,RB,QB,WR,WR,WR,RB,0,3,2,0,77.4
6th,WR,WR,WR,RB,QB,RB,RB,TE,TE,0,3,2,0,77.4
1st,WR,RB,TE,QB,RB,WR,WR,WR,RB,1,2,1,1,77.4
12th,WR,RB,TE,QB,RB,WR,WR,WR,RB,1,2,1,1,77.4
4th,WR,WR,TE,RB,QB,RB,RB,RB,RB,0,2,3,0,77.4
1st,RB,RB,RB,WR,WR,WR,QB,RB,TE,0,1,3,1,77.3
12th,RB,WR,WR,RB,WR,RB,QB,TE,WR,0,2,2,1,77.3
12th,WR,WR,WR,RB,TE,RB,QB,WR,RB,0,3,2,0,77.3
1st,RB,RB,WR,WR,WR,TE,QB,RB,RB,0,2,3,0,77.3
1st,WR,WR,RB,RB,TE,QB,RB,RB,WR,0,2,3,0,77.3
6th,WR,WR,TE,WR,WR,WR,RB,QB,RB,1,4,0,0,77.3
12th,WR,WR,WR,RB,RB,RB,TE,QB,WR,0,3,1,1,77.3
4th,WR,WR,RB,RB,TE,QB,RB,RB,WR,0,2,3,0,77.3
1st,RB,TE,RB,WR,WR,QB,RB,WR,RB,0,2,3,0,77.3
4th,RB,RB,QB,TE,WR,WR,WR,WR,WR,0,4,1,0,77.3
4th,RB,WR,RB,QB,RB,RB,RB,TE,RB,0,0,5,0,77.2
6th,RB,RB,WR,WR,RB,QB,WR,WR,TE,0,2,2,1,77.2
9th,RB,WR,RB,WR,RB,WR,TE,QB,RB,1,1,2,1,77.2
1st,WR,RB,WR,RB,WR,QB,RB,WR,TE,0,3,1,1,77.2
4th,RB,WR,WR,RB,WR,RB,QB,TE,WR,0,2,2,1,77.2
4th,WR,TE,WR,QB,WR,RB,RB,RB,RB,0,2,2,1,77.2
12th,RB,TE,RB,RB,WR,WR,QB,WR,WR,1,2,2,0,77.2
1st,RB,TE,RB,WR,QB,WR,WR,WR,RB,2,2,1,0,77.2
4th,RB,RB,WR,WR,RB,WR,RB,WR,RB,2,0,0,3,77.2
1st,RB,RB,TE,WR,RB,RB,WR,WR,QB,1,2,2,0,77.2
